"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S6AMBDB6","book","2001","Artioli, Umberto","Pirandello allegorico. I fantasmi dell'immaginario","","","","","","","2001","2020-06-18 10:07:15","2022-01-08 15:54:59","","","","","","","","","","","","","Laterza","Bari","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/7JXP4623/Artioli - 2001 - Pirandello allegorico. i fantasmi dell'immaginario.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4IANZLH","book","1925","Praga, Marco","Cronache teatrali (1924)","","","","","","","1925","2020-06-19 07:13:40","2021-12-30 16:54:02","","","","","VI","","","","","","","","Treves","Milano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JE2WTUJV","book","2015","Masino, Paola","Album di vestiti","","","","","","","2015","2020-06-19 07:24:13","2020-10-20 07:26:21","","","","","","","","","","","","","Lit Edizioni","Roma","","","","","","","","","","","","","","Mascia Galateria, Marinella","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVZTF8NM","journalArticle","1996","Pullini, Giorgio","Il dramma di Pirandello nell’epistolario con Marta Abba","Lettere Italiane","","","","","","1996","2020-06-19 09:00:29","2020-07-03 13:22:00","","559-571","","4","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9C6ZX36H","book","1974","Bontempelli, Massimo","L'avventura novecentista","","","","","","","1974","2020-06-22 08:44:49","2020-06-22 08:45:12","","","","","","","","","","","","","Vallecchi","Firenze","","","","","","","","","","","","","","Jacobbi, Ruggero","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7IDND7K","newspaperArticle","1932","Radice, Raul","Massimo Bontempelli","L'Ambrosiano","","","","","","1932-04-25","2020-06-22 14:16:57","2020-06-22 14:18:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHWHMFVG","book","1994","Abba, Marta","Caro Maestro… Lettere a Luigi Pirandello (1926 – 1936)","","","","","","","1994","2020-06-22 14:30:52","2020-06-22 14:31:15","","","","","","","","","","","","","Mursia","Milano","","","","","","","","","","","","","","Frassica, Pietro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWFVKNPA","journalArticle","1978","Artieri, Giovanni","Massimo Bontempelli e l’avventura novecentista","L'osservatore politico letterario","","","","","","1978","2020-06-23 07:05:21","2020-06-23 07:06:04","","39-52","","11","XXIV","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/VTNDBPNA/Artieri - 1978 - Massimo Bontempelli e l’avventura novecentista.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXWQDLDY","book","1976","Livio, Gigi","Il Teatro in rivolta: Futurismo, grottesco, Pirandello e pirandellismo","","","","","","","1976","2020-06-25 14:31:38","2021-12-29 08:32:09","","","","","","","","","","","","","Mursia","Milano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IL8FHEN4","book","1984","NESSUNO","Cecchi al cinema : Firenze, Palazzo Strozzi, 15 dicembre 1984-5 gennaio 1985","","","","","","","1984","2020-06-25 15:36:16","2022-01-05 14:33:53","","","","","","","","","","","","","Arti Grafiche C. Mori","Firenze","","","","","","","","","","","","","","Ghilardi, Margherita","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8L36MXV","book","1991","Bontempelli, Massimo","Opere scelte","","","","","","","1991","2020-06-26 08:33:37","2020-06-26 08:34:38","","","","","","","","","","","","","Mondadori","Milano","","","","","","","","","","","","","","Baldacci, Luigi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBJVDZR9","book","2002","NESSUNO","Interviste a Pirandello: parole da dire, uomo, agli altri uomini","","","","","","","2002","2020-06-29 15:13:24","2022-01-11 20:05:37","","","","","","","","","","","","","Rubbettino","Catanzaro","","","","","","","","","","","","","","Pupo, Ivan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88PFFLKG","book","1985","Alvaro, Corrado; Bontempelli, Massimo; Frank, Nino","Lettere a ""900""","","","","","","","1985","2020-07-01 07:37:39","2022-01-10 08:07:46","","","","","","","","","","","","","Bulzoni","Roma","","","","","","","","","","","","","","Mascia Galateria, Marinella","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQUZYIT7","book","2007","Guidotti, Angela","Scrittura, gestualità, immagine: la novella e le sue trasformazioni visive","","","","","","","2007","2020-07-03 10:26:10","2022-01-04 14:15:34","","","","","","","","","Letteratura italiana","","","","ETS","Pisa","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/Z6M5SEIA/Guidotti - 2007 - Scrittura, gestualità, immagine la novella e le s.pdf; /Users/irenebertelloni/Zotero/storage/PJBB9TAX/Pirandello_e_un_film_da_fare.pdf","","","Adaptations History and criticism; Italian fiction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MASVKKY4","book","2019","ISTITUTO DI STUDI PIRANDELLIANI E DEL TEATRO CONTEMPORANEO","L’attrice ideale. Marta Abba nella vita e nell’arte di Luigi Pirandello","","","","","","","2019","2020-07-03 14:49:53","2022-01-07 08:45:34","","","","","","","","","","","","","De Luca Editori d'Arte","Roma","","","","","","","","","","","","","","Saponaro, Dina; Torsello, Lucia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q67EFKMF","journalArticle","2016","","Le lettere autografe di Marta Abba tornano nella casa di Luigi Pirandello","Accademia & Biblioteche d'Italia. Trimestrale di cultura delle biblioteche e delle istituzioni culturali","","","","","ISTITUTO DI STUDI PIRANDELLIANI E SUL TEATRO CONTEMPORANEO","2016","2020-07-06 14:22:46","2022-01-11 19:54:14","","7-18","","1-2","","","","","","","","","","","","","","","","","","","","","","","","Torsello, Lucia; Saponaro, Dina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUE2X675","book","2008","Pesce, M. D.","Massimo Bontempelli drammaturgo. Il senso del meraviglioso","","","","","","","2008","2020-07-28 09:48:55","2022-01-08 16:14:29","","","","","","","","","","","","","Edizioni dell'Orso","Alessandria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPCT5BZQ","book","1989","Bontempelli, Massimo","Nostra Dea e altre commedie","","","","","","","1989","2020-07-28 13:07:58","2022-01-04 14:46:31","","","","","","","","","","","","","Einaudi","Torino","","","","","","","","","","","","","","Tinterri, Alessandro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4YMVKEL","book","2008","Grazioli, Cristina","Luce e ombra: storia, teorie e pratiche dell’illuminazione teatrale","","","","","","","2008","2020-08-31 15:40:08","2021-12-24 11:09:10","","","","","","","","","","","","","Laterza","Bari","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A96EC32D","journalArticle","2007","Gaborik, Patricia","La Donna Mobile: Massimo Bontempelli’s Nostra Dea as Fascist Modernism","Modern drama","","","","","","2007","2020-09-15 07:52:31","2021-12-23 16:38:26","","210-232","","2","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NKJHMZX","book","2003","Puppa, Paolo","Il teatro dei testi. La drammaturgia italiana nel Novecento","","","","","","","2003","2020-09-15 08:05:39","2020-09-15 08:06:13","","","","","","","","","","","","","UTET","Torino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GTAETHG","book","1958","Pirandello, Luigi","Maschere nude","","","","","","","1958","2020-09-22 14:17:44","2021-12-29 11:03:16","","","","","II","","","","","","","","Mondadori","Milano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MRVPIZ2","book","2020","Bontempelli, Massimo","Eva ultima","","","","","","","2020","2020-09-24 13:59:35","2022-01-10 08:08:54","","","","","","","","","","","","","maria pacini fazzi editore","Lucca","","","","","","","","","","","","","","Bertelloni, Irene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGZIZJAL","book","1998","Toschi, Luca","Pirandello: effetti di un sogno interrotto e un film da fare","","","","","","","1998","2020-09-28 07:32:36","2022-01-05 14:26:57","","","","","","","","","","","","","Marsilio","Venezia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E76FD4U3","book","2006","Pirandello, Luigi","Saggi e interventi","","","","","","","2006","2020-09-30 10:33:55","2022-01-10 18:50:25","","","","","","","","","","","","","Mondadori","Milano","","","","","","","","","","","","","","Taviani, Ferdinando","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKEGELU6","journalArticle","2006","Dal Monte, Regina","La Sagra e il Signore della Nave di Luigi Pirandello","Quaderni d'italianistica","","","","","","2006","2020-10-05 08:17:01","2022-01-04 14:12:22","","139-153","","2","XXVII","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4JSFTJ8Z","journalArticle","1926","Bontempelli, Massimo","Arte fascista","Critica fascista","","","","","","1926","2020-10-05 09:14:26","2022-01-07 15:58:18","","416","","22","IV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZAMQ9I6","journalArticle","2012","Sica, Beatrice","Identità, senso del sacro e impegno in Massimo Bontempelli","Revue des études italiennes","","","","","","2012","2020-10-05 15:19:30","2020-10-05 15:20:18","","93-108","","1-2","58","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/YPQSUYJV/Sica - 2012 - Identità, senso del sacro e impegno in Massimo Bon.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZLUWQRJ","book","1987","Pirandello, Luigi","Pirandello capocomico","","","","","","","1987","2020-10-12 14:49:38","2022-01-04 14:37:25","","","","","","","","","","","","","Sellerio","Palermo","","","","","","","","","","","","","","D'Amico, Alessandro; Tinterri, Alessandro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBXL5QKP","bookSection","2012","Gaborik, Patricia","C'era Mussolini","Atlante della letteratura italiana","","","","","","2012","2020-10-13 13:29:22","2021-12-25 16:47:27","","533-540","","","III","","","","","","","","Einaudi","Torino","","","","","","","","","","","","","","Luzzatto, Sergio; Pedullà, Daniele","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2W5X46I","book","2004","Pirandello, Luigi","Maschere nude","","","","","","","2004","2020-10-23 13:24:08","2022-01-05 14:41:31","","","","","","","","","","","","","Mondadori","Milano","","","","","","","","","","","","","","D'Amico, Alessandro; Tinterri, Alessandro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFBQDZ5E","journalArticle","2017","Schino, Mirella","Dal punto di vista degli attori","Teatro e storia","","","","","","2017","2020-10-29 17:10:03","2022-01-04 14:25:54","","67-113","","","38","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/ME6C5CAK/Schino - 2017 - Dal punto di vista degli attori..pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSV44JIR","book","1987","Puppa, Paolo","Dalle parti di Pirandello","","","","","","","1987","2020-11-02 09:25:29","2021-12-24 11:31:58","","","","","","","","","","","","","Bulzoni","Roma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LN6PDSD","journalArticle","1986","Mancini, Andrea","Pirandello, Ferrieri, «Il Convegno»","Ariel","","","","","","1986","2020-11-02 14:53:36","2021-12-23 16:47:22","","139-152","","3","","","","","","","","Ariel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW3QHWGI","journalArticle","2012","Pupo, Ivan","La giornata perduta di un Capocomico. Sui Sei personaggi nella traduzione di Crémieux e negli appunti di Pitoëff","Il castello di Elsinore","","","","","","2012","2020-11-10 09:20:38","2021-12-23 16:54:46","","57-98","","65","25","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/I88YPRWW/Pupo - 2012 - La giornata perduta di un Capocomico. Sui Sei pers.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NP8DEQED","book","2004","Scarpellini, Emanuela","Organizzazione teatrale e politica del teatro nell'Italia fascista","","","","","","","2004","2020-11-11 15:09:59","2022-01-08 16:17:07","","","","","","","","","","","","","La Nuova Italia Editrice","Firenze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FU4YLBKR","book","1978","Puppa, Paolo","Fantasmi contro giganti. Scena e immaginario in Pirandello","","","","","","","1978","2020-11-19 16:02:24","2022-01-04 14:45:20","","","","","","","","","","","","","Pàtron Editore","Bologna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHECULQD","book","1998","Fabri, Ira; Simonigh, Chiara; Termine, Liborio","Il cinema e la vergogna negli scritti di Verga Bontempelli Pirandello","","","","","","","1998","2020-11-26 09:17:21","2022-01-07 16:27:36","","","","","","","","","","","","","Testo&Immagine","Rivoli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLI8XF5P","journalArticle","2005","Dal Monte, Regina","«Lunghi discorsi col fuoco». Magia ed esoterismo in Luigi Pirandello.","Studi Novecenteschi","","","","","","2005","2020-11-27 08:02:38","2020-11-27 08:04:22","","91-121","","69","32","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/57KYA99S/Dal Monte - 2005 - «Lunghi discorsi col fuoco». Magia ed esoterismo i.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDY4X3PV","journalArticle","1967","Vicari, Antonio","I miti di Luigi Pirandello","Italica","","","","","","1967","2020-11-27 14:10:06","2020-11-27 14:22:28","","28-40","","1","44","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/QGIKLC5J/Vicari - 1967 - I miti di Luigi Pirandello.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C3X5U77A","journalArticle","2011","De Antonellis, Gianandrea","Gabriele d'Annunzio e la visione della religiosità ne La figlia di Iorio","Quaerere Deum","","","","","","2011","2020-11-30 08:53:09","2021-12-23 16:28:40","","75-97","","","3","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/D98NZS6Y/De Antonellis - 2011 - Gabriele d'Annunzio e la visione della religiosità.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YE26NWIQ","book","2007","Diderot, Denis","Il paradosso sull'attore","","","","","","","2007","2020-11-30 15:07:48","2021-12-24 11:05:24","","","","","","","","","","","","","Editori Riuniti","Roma","","","","","","","","","","","","","","Alatri, Paolo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQVSYXP3","journalArticle","2008","Santuccio, Maria Elena","Mito e antimito nell'Italia fascista: la trilogia pirandelliana dei miti e il teatro nazionalista e fascista di propaganda","Italian Studies","","","","","","2008","2020-11-30 15:30:00","2022-01-04 14:24:57","","85-104","","1","63","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/6YS82BN2/Santuccio - 2008 - Mito e Antimito nell'Italia Fascista la trilogia .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NSIZHI8","book","2008","Zangrilli, Franco","Pirandello postmoderno?","","","","","","","2008","2020-12-01 14:56:25","2020-12-01 14:58:08","","","","","","","","","","","","","Edizioni Polistampa","Firenze","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/MSBQ9749/Zangrilli - 2008 - Pirandello postmoderno.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IF5C47Z9","book","2017","","Tra Venezia e Saturno. Storia, drammaturgia e poesia per Paolo Puppa","","","","","","","2017","2020-12-02 10:15:53","2021-12-24 11:25:18","","","","","","","","","","","","","Titivillus","Corazzano","","","","","","","","","","","","","","Cuppone, Roberto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKVDXJ82","book","2003","Pirandello, Luigi","Tutti i romanzi","","","","","","","2003","2020-12-07 08:33:56","2021-12-23 15:38:58","","","","","2","","","","","","","","Mondadori","Milano","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/ST68PNAW/Luigi Pirandello_Stefano Milioto - Quaderni di Serafino Gubbio operatore (2011_2013, BUR_Zanichelli) - libgen.lc.epub","","","","Macchia, Giovanni","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DS4X9PKZ","book","1975","de Castris, Leone","Storia di Pirandello","","","","","","","1975","2020-12-07 15:47:17","2022-01-08 15:55:03","","","","","","","","","","","","","Laterza","Bari","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/5BMZME6H/de Castris - Storia di Pirandello.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8T5QD5LQ","book","2018","Castellana, Riccardo","Finzione e memoria. Pirandello modernista","","","","","","","2018","2020-12-07 16:33:53","2020-12-07 16:34:36","","","","","","","","","","","","","Liguori Editore","Napoli","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/K3FT3NVY/[Profili] Riccardo Castellana - Finzione e memoria. Pirandello modernista (2018, Liguori) - libgen.lc.epub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQ2L2D5Y","book","2010","Collura, Matteo","Il gioco delle parti. Vita straordinaria di Luigi Pirandello","","","","","","","2010","2020-12-08 09:36:30","2021-12-28 16:40:46","","","","","","","","","","","","","Longanesi","Milano","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/IG9NZD8V/Matteo Collura - Il gioco delle parti. Vita straordinaria di Luigi Pirandello (2010, Longanesi) - libgen.lc.epub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5N249UDE","journalArticle","","Nobili, Sebastiana","Pirandello lunatico. Breve storia di un’ossessione astrale","","","","https://doi.org/10.6092/issn.1721-4777/9180","","","","2020-12-08 14:02:26","2021-12-23 16:52:59","2020-12-17","","","","","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/YA8G2MYS/Pirandello_lunatico_breve_storia_di_unos.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GSWCV6FY","bookSection","1978","Angelini, Franca","Dal «Teatro muto» all’«Antiteatro»: le teorie del cinema all’epoca del «Si gira...»","Pirandello e il cinema","","","","","","1978","2020-12-11 14:20:35","2022-01-11 13:51:05","","","","","","","","","","","","","Centro Nazionale di Studi Pirandelliani","Agrigento","","","","","","","","","","","","","","Lauretta, Enzo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XWXPD9Y","bookSection","2012","Gaborik, Patricia","Lo spettacolo del fascismo","Atlante della letteratura italiana","","","","","","2012","2020-12-15 15:45:22","2022-01-05 15:01:23","","589-613","","","","","","","","","","","Einaudi","Torino","","","","","","","","","","","","","","Luzzatto, Sergio; Pedullà, Daniele","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MMXBDR23","book","2014","Fried, Ilona","Il Convegno Volta sul teatro drammatico. Roma 1934. Un evento culturale nell’età dei totalitarismi","","","","","","","2014","2020-12-22 15:14:33","2022-01-08 15:52:46","","","","","","","","","","","","","Titivillus","Corazzano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QSQM4GQ","book","2018","ISTITUTO DI STUDI PIRANDELLIANI E SUL TEATRO CONTEMPORANEO","Archivio Luigi Pirandello Corrispondenza Convegno Volta per il Teatro Drammatico","","","","","","","2018","2020-12-23 14:41:42","2022-01-08 15:49:23","","","","","","","","","","","","","Bulzoni","Roma","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/YL9NYYX2/Archivio Luigi Pirandello Corrispondenza Convegno .pdf","","","","Saponaro, Dina; Torsello, Lucia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I39XMCAH","journalArticle","2012","Trevisan, Myriam","il ricordo di Pirandello tra le carte di Paola Masino","Ariel","","","","","","2012","2020-12-29 08:59:20","2021-12-23 17:09:38","","65-105","","2","","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/PYTH44XJ/Trevisan - il ricordo di Pirandello tra le carte di Paola Mas.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UABMAMIG","journalArticle","2008","Mango, Lorenzo","Silvio d'Amico spettatore del Teatro d'Arte","Ariel","","","","","","2008","2020-12-30 09:56:47","2021-12-23 16:46:10","","97-138","","3","","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/VM26FL6R/Mango - saggi, ricerche e documenti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7HEA7L9","book","2006","Guidi, Orietta","Irregolari novecenteschi: Bontempelli, Savinio, Landolfi, Penna, Curto","","","","","","","2006","2020-12-30 16:04:37","2020-12-30 16:05:01","","","","","","","","","","","","","Longo","Ravenna","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/VMQ4EFES/Guidi - 2006 - Irregolari novecenteschi Bontempelli, Savinio, La.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XT9N2NL5","bookSection","2016","Striano, Apollonia","Massimo Bontempelli e il teatro dell'epoca nuova","La luna e lo specchio: la drammaturgia italiana del primo Novecento","","","","","","2016","2021-01-02 13:59:45","2022-01-04 15:27:51","","99-120","","","","","","","","","","","Edizioni sinestesie","Avellino","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/VF6IJP98/StrianoApollonia_MassimoBontempelliEIlTeatr_20201228044227.pdf","","","","Vulpio, Franco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J34VKY74","book","2001","Orsini, François","Pirandello e l'Europa","","","","","","","2001","2021-01-07 16:46:06","2021-12-29 10:58:14","","","","","","","","","","","","","Luigi Pellegrini Editore","Cosenza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R79UFBXA","bookSection","1987","Macchia, Giovanni","Luigi Pirandello","Storia della Letteratura Italiana. Il Novecento","","","","","","1987","2021-01-08 10:46:50","2022-01-07 08:41:29","","477-542","","","1","","","","","","","","Garzanti","Milano","","","","","","","","","","","","","","Cecchi, Emilio; Sapegno, Natalino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSG9I966","journalArticle","","Fried, Ilona","Bontempelli e i teatri di masse","","","","","http://boll900.it/numeri/2010-i/Fried.html","","","2021-01-20 10:19:34","2022-01-05 13:54:17","2021-01-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXGWEFSU","journalArticle","1993","Barbina, Alfredo","Dietro le quinte del Convegno Volta","Ariel","","","","","","1993","2021-01-20 10:58:01","2021-12-23 14:59:57","","71-79","","2-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKGJBTB8","book","1996","Schnapp","18BL. Mussolini e l'opera d'arte di massa","","","","","","","1996","2021-01-20 16:46:20","2022-01-04 14:45:42","","","","","","","","","","","","","Garzanti","Milano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DGW6A6B","book","1963","d'Amico, Silvio","Cronache del teatro","","","","","","","1963","2021-01-26 15:05:23","2022-01-10 18:55:57","","","","","","2","","","","","","","Laterza","Bari","","","","","","","","","","","","","","D'Amico, Alessandro; Palmieri, Eugenio Ferdinando","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAKTVBSE","bookSection","1987","Puppa, Paolo","Itinerari nella drammaturgia del Novecento","Il Novecento","","","","","","1987","2021-01-28 10:40:22","2022-01-11 07:39:55","","715-864","","","","2","","","","","","","Garzanti","Milano","","","","","","","","","","","","","","Cecchi, Emilio; Sapegno, Natalino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQX8PFJ9","book","1929","D'Amico, Silvio","Cronache del teatro drammatico","","","","","","","1929","2021-02-01 08:24:48","2022-01-05 15:14:03","","","","","","","","","","","","","Le Monnier","Firenze","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/GJMT4ZL4/Silvio d'Amico - cronache del teatro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9FHNTY7E","book","1991","Urgnani, Elena","Sogni e visioni. Massimo Bontempelli fra surrealismo e futurismo","","","","","","","1991","2021-02-01 09:03:09","2021-12-25 16:09:54","","","","","","","","","","","","","Longo","Ravenna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
