"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IVRX5ZX8","book","2006","NESSUNO","Umberto Fracchia i giorni e le opere","","","","","","","2006","2021-12-30 16:02:12","2022-01-10 19:00:37","","","","","","","","","","","","","Società Editrice Fiorentina","Firenze","","","","","","","","","","","","","","Aveto, Andrea; Merlanti, Federica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFHI4GEC","book","2010","Ferrucci, Carlo","La musa ritrosa: Pirandello e Marta Abba","","","","","","","2010","2021-12-30 16:45:25","2021-12-30 16:46:21","","","","","","","","","","","","","CLUEB","Bologna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XA8VM37B","book","1995","Masino, Paola","Io, Massimo e gli altri","","","","","","","1995","2021-12-30 16:56:55","2022-01-04 14:42:12","","","","","","","","","","","","","Rusconi","Milano","","","","","","","","","","","","","","Vittori, Maria Vittoria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33VEWZWB","book","1988","Bontempelli, Massimo","Eva ultima","","","","","","","1988","2021-12-30 17:38:03","2021-12-30 17:38:32","","","","","","","","","","","","","Lucarini","Roma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIQNHAGY","book","1993","Pirandello, Luigi","I romanzi","","","","","","","1993","2021-12-30 17:52:52","2021-12-30 17:54:39","","","","","","","","","","","","","Garzanti","Milano","","","","","","","","","","","","","","Borsellino, Nino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J79FTYEY","book","2013","Pirandello, Luigi","Quaderni di Serafino Gubbio operatore","","","","","","","2013","2021-12-30 17:55:43","2022-01-11 20:06:51","","","","","","","","","","","","","BUR","Milano","","","","","","","","","","","","","","Milioto, Stefano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YWFDFIY","book","1996","Isnenghi, Mario","L’Italia del fascio","","","","","","","1996","2021-12-31 08:13:45","2021-12-31 08:14:03","","","","","","","","","","","","","Giunti","Firenze","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7LR6S8W","book","1931","Marpicati, Arturo","La Reale Accademia d’Italia con particolare riferimento alla classe di lettere","","","","","","","1931","2021-12-31 08:15:04","2021-12-31 08:16:08","","","","","","","","","","","","","Franklin","Budapest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YVBMJ7A","bookSection","2021","Baglivo, Beatrice","Una poetica dell’immaginazione: il realismo magico di Curzio Malaparte","ANTI-MIMESIS Le poetiche antimimetiche in Italia (1930-1980)","","","","","","2021","2021-12-31 08:24:02","2021-12-31 08:26:45","","","","","","","","","","","","","Prospero Editore","Novete Milanese","","","","","","","","","","","","","","Gialloreto, Andrea; Jurišić, Srećko","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLKDACSH","book","2002","Moravia, Alberto-","La bella vita","","","","","","","2002","2021-12-31 08:30:13","2021-12-31 08:30:33","","","","","","","","","","","","","Bompiani","Milano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z59YZJS5","newspaperArticle","1926","Bontempelli, Massimo","Al Torcibudella","Il Tevere","","","","","","1926-08-05","2022-01-07 10:27:49","2022-01-07 10:28:21","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8EC79QS","newspaperArticle","1926","NESSUNO","Il duello Ungaretti-Bontempelli","Il Tevere","","","","","","1926-08-09","2022-01-07 10:28:21","2022-01-07 10:29:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8A42MIY","newspaperArticle","1926","Crémieux, Benjamin","«900»","La Nouvelle Revue Fraçaise","","","","","","1926-12-01","2022-01-07 10:29:43","2022-01-07 10:30:52","","770-771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3S6I2RD","newspaperArticle","1927","Aniante, Antonio","Batterie del «900»","Il Tevere","","","","","","1927-05-21","2022-01-07 10:30:52","2022-01-07 10:31:36","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SABRNQMX","journalArticle","1919","Cardarelli, Vincenzo","Prologo in tre atti","La Ronda","","","","","","1919","2022-01-07 10:31:36","2022-01-07 10:47:34","","6","","1","I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"643MUN4R","newspaperArticle","1930","Bontempelli, Massimo; Alvaro, Corrado","Teatri piccoli o grandi? Referendum di A. G. Bragaglia","L'Italia Letteraria","","","","","","1930-01-26","2022-01-07 10:52:18","2022-01-07 10:53:04","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8U5BJE99","newspaperArticle","1930","Bragaglia, Anton Giulio","Teatri piccoli o grandi? – Conclusioni sull’inchiesta","L'Italia Letteraria","","","","","","1930-01-26","2022-01-07 10:53:04","2022-01-07 10:53:48","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQDG4QX2","journalArticle","1940","Bargellini, Piero","La tecnica del colpo allo stomaco","Frontespizio","","","","","","1940","2022-01-07 11:02:26","2022-01-11 19:57:16","","277","","5","XII","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
